"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Enterprise analytics report endpoint.","10","GET Enterprise Report Analytics","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","failed","Sun May 24 11:13:30 UTC 2026","","09 - Enterprise API","",""
"Bulk update reward rules.","11","PUT Reward Rules","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","passed","Sun May 24 11:13:30 UTC 2026","","09 - Enterprise API","",""
"Admin report analytics.","10","GET Analytics Reports","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","failed","Sun May 24 11:13:30 UTC 2026","","10 - Admin API","",""
"Admin or Enterprise report list. Set managementToken to the token of the role you want to use.","16","GET All Reports","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","Management Reports","03 - Reports","",""
"Update enterprise capacity and service area.","13","PUT Enterprise Profile","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","09 - Enterprise API","",""
"Leaderboard filtered by district and ward.","30","GET Leaderboard by Area","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","","06 - Citizen API","",""
"Fetch a complaint by ID.","13","GET Complaint Detail","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","Citizen Complaints","04 - Complaints","",""
"Admin user analytics.","10","GET Analytics Users","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","failed","Sun May 24 11:13:30 UTC 2026","","10 - Admin API","",""
"Enterprise task statistics.","10","GET Task Stats","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","passed","Sun May 24 11:13:30 UTC 2026","","09 - Enterprise API","",""
"List reward rules for the enterprise.","11","GET Reward Rules","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:30 UTC 2026","","09 - Enterprise API","",""
"Public analytics endpoint. No auth required.","1049","GET Public Analytics Reports","WastePlatform API - Professional QA Suite","Sun May 24 11:13:26 UTC 2026","passed","Sun May 24 11:13:27 UTC 2026","","00 - Smoke & Public","",""
"Toggle collector availability.","12","PATCH Toggle Availability","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","07 - Collector API","",""
"Admin enterprise list with filters.","11","GET Enterprises","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","failed","Sun May 24 11:13:30 UTC 2026","","10 - Admin API","",""
"Admin enterprise detail view.","11","GET Enterprise Detail","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","failed","Sun May 24 11:13:30 UTC 2026","","10 - Admin API","",""
"Use this request to capture an enterprise token into enterpriseToken.","18","POST Login Enterprise","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","01 - Auth","",""
"Complete a task and upload proof images if required.","12","PUT Complete Task","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","08 - Collector Tasks","",""
"Admin waste analytics.","11","GET Analytics Waste","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","failed","Sun May 24 11:13:30 UTC 2026","","10 - Admin API","",""
"Complaint list visible to enterprise/admin.","10","GET Enterprise Complaints","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","passed","Sun May 24 11:13:30 UTC 2026","","09 - Enterprise API","",""
"Create a complaint linked to a report or enterprise.","12","POST Create Complaint","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","Citizen Complaints","04 - Complaints","",""
"Use this to inspect available roles before registering users.","26","GET Roles","WastePlatform API - Professional QA Suite","Sun May 24 11:13:27 UTC 2026","passed","Sun May 24 11:13:27 UTC 2026","","01 - Auth","",""
"Update accepted waste categories.","11","PUT Waste Types","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","09 - Enterprise API","",""
"Get all categories and accepted category IDs.","11","GET Waste Types","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","09 - Enterprise API","",""
"Use this request to capture a citizen token into citizenToken.","32","POST Login Citizen","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","01 - Auth","",""
"Create a report as a Citizen. Upload at least one image if the backend requires it.","23","POST Create Report","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","Citizen Reports","03 - Reports","",""
"Mark an enterprise as verified.","11","POST Verify Enterprise","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","passed","Sun May 24 11:13:30 UTC 2026","","10 - Admin API","",""
"List complaints for the current citizen.","13","GET My Complaints","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","Citizen Complaints","04 - Complaints","",""
"Fetch the current collector profile.","13","GET Collector Profile","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","","07 - Collector API","",""
"Mark all notifications as read.","13","PUT Mark All Notifications Read","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","05 - Notifications","",""
"Get unread notification count for the current citizen.","13","GET Unread Count","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","","05 - Notifications","",""
"Get detailed task information.","11","GET Task By ID","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","","08 - Collector Tasks","",""
"Use a valid categoryId from the list endpoint.","25","GET Category By ID","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","passed","Sun May 24 11:13:29 UTC 2026","","02 - Waste Categories","",""
"List collectors belonging to the enterprise.","13","GET Collectors","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","","09 - Enterprise API","",""
"Admin complaint detail view.","14","GET Complaint Detail","WastePlatform API - Professional QA Suite","Sun May 24 11:13:29 UTC 2026","failed","Sun May 24 11:13:29 UTC 2026","Admin Complaints","04 - Complaints","",""
"Activate or deactivate a user.","10","PATCH Toggle User Status","WastePlatform API - Professional QA Suite","Sun May 24 11:13:30 UTC 2026","passed","Sun May 24 11:13:30 UTC 2026","","10 - Admin API","",""
