"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reports","0","Create Report Handler","12","0","Valid report submission with media evidence","0"
"0","","32","","42","0","","0"
"0","Complaints","0","Resolve Complaint Handler","14","0","Complaint resolution and admin response tracking","0"
"0","Complaints","0","Reject Complaint Handler","10","0","Complaint rejection and admin response tracking","0"
"0","Notifications","0","Notification Service","4","0","Realtime notification persistence and push","0"
"0","Domain Model","0","Collection Task Entity","6","0","Status transitions and assignment lifecycle","0"
"0","Complaints","0","Create Complaint Handler","8","0","Complaint creation and linkage to reports","0"
"0","Infrastructure","0","Notification Repository","7","0","Citizen notification persistence and paging","0"
"0","Authentication","0","Auth APIs","5","0","Register, login, and current user profile","0"
"0","Domain Model","0","Waste Report Entity","6","0","Status transitions for waste reports","0"
"0","Notifications","0","Citizen Notifications","7","0","Inbox listing and mark-as-read flows","0"
"0","Enterprise Operations","0","Assign Collector Handler","1","0","Assign a collector and stamp the assignment time","0"
"0","Infrastructure","0","Reward Points Repository","3","0","Reward calculation and idempotency","0"
"0","Collector Operations","0","Task Lifecycle","3","0","Set on the way and complete collection tasks","0"
"0","Enterprise Operations","0","Reward Rules","3","0","Manage reward rules for waste categories","0"
"0","Enterprise Operations","0","Task Assignment","2","0","Assign collector to a waste collection task","0"
