"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Public reference data for report creation and enterprise waste-type setup.","30","GET All Categories","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","02 - Waste Categories","",""
"List the current citizen notifications.","11","GET Notifications","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","05 - Notifications","",""
"Reject an enterprise with a reason.","10","POST Reject Enterprise","WastePlatform API - Professional QA Suite","Sun May 24 02:10:25 UTC 2026","passed","Sun May 24 02:10:25 UTC 2026","","10 - Admin API","",""
"Paginated reward point history.","15","GET Rewards History","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","06 - Citizen API","",""
"Update a collector profile.","13","PUT Update Collector","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Admin analytics summary.","14","GET Analytics Summary","WastePlatform API - Professional QA Suite","Sun May 24 02:10:25 UTC 2026","failed","Sun May 24 02:10:25 UTC 2026","","10 - Admin API","",""
"Get one task progress.","10","GET Task Progress","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Mark an enterprise as verified.","10","POST Verify Enterprise","WastePlatform API - Professional QA Suite","Sun May 24 02:10:25 UTC 2026","passed","Sun May 24 02:10:25 UTC 2026","","10 - Admin API","",""
"List tasks assigned to the current collector.","13","GET My Tasks","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","08 - Collector Tasks","",""
"List collectors available for assignment.","11","GET Available Collectors","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Create a new collector under the enterprise.","10","POST Create Collector","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Admin complaint list with filters.","14","GET All Complaints","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","Admin Complaints","04 - Complaints","",""
"Update enterprise capacity and service area.","16","PUT Enterprise Profile","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Enterprise available reports list.","13","GET Enterprise Available Reports","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","Management Reports","03 - Reports","",""
"List collectors belonging to the enterprise.","13","GET Collectors","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Register a new enterprise account. Adjust payload if your backend registration command uses a slightly different shape.","589","POST Register Enterprise","WastePlatform API - Professional QA Suite","Sun May 24 02:10:23 UTC 2026","passed","Sun May 24 02:10:23 UTC 2026","","01 - Auth","",""
"Assign a collector to a task. Use managementToken if you want admin access, or enterpriseToken for enterprise flows.","10","PUT Assign Collector","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Citizen leaderboard by points.","36","GET Leaderboard","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","06 - Citizen API","",""
"Remove a collector from the enterprise.","12","DELETE Collector","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Reject a complaint as admin.","12","POST Reject Complaint","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","Admin Complaints","04 - Complaints","",""
"Get the current citizen profile.","12","GET Profile","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","06 - Citizen API","",""
"Mark all notifications as read.","15","PUT Mark All Notifications Read","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","05 - Notifications","",""
"Smoke test. Keep this request green on every deployment.","469","GET Health","WastePlatform API - Professional QA Suite","Sun May 24 02:10:21 UTC 2026","passed","Sun May 24 02:10:21 UTC 2026","","00 - Smoke & Public","",""
"Create a new user from the admin panel.","33","POST Create User","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:25 UTC 2026","","10 - Admin API","",""
"Use this request to capture a citizen token into citizenToken.","31","POST Login Citizen","WastePlatform API - Professional QA Suite","Sun May 24 02:10:23 UTC 2026","passed","Sun May 24 02:10:23 UTC 2026","","01 - Auth","",""
"Enterprise analytics report endpoint.","12","GET Enterprise Report Analytics","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Admin enterprise detail view.","10","GET Enterprise Detail","WastePlatform API - Professional QA Suite","Sun May 24 02:10:25 UTC 2026","failed","Sun May 24 02:10:25 UTC 2026","","10 - Admin API","",""
"Leaderboard filtered by district and ward.","31","GET Leaderboard by Area","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","06 - Citizen API","",""
"Use this request to capture a collector token into collectorToken.","15","POST Login Collector","WastePlatform API - Professional QA Suite","Sun May 24 02:10:23 UTC 2026","passed","Sun May 24 02:10:23 UTC 2026","","01 - Auth","",""
"Use this request to capture an admin token into adminToken and managementToken.","17","POST Login Admin","WastePlatform API - Professional QA Suite","Sun May 24 02:10:23 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","01 - Auth","",""
"Admin waste analytics.","14","GET Analytics Waste","WastePlatform API - Professional QA Suite","Sun May 24 02:10:25 UTC 2026","failed","Sun May 24 02:10:25 UTC 2026","","10 - Admin API","",""
"Use this to inspect available roles before registering users.","24","GET Roles","WastePlatform API - Professional QA Suite","Sun May 24 02:10:22 UTC 2026","passed","Sun May 24 02:10:22 UTC 2026","","01 - Auth","",""
"Enterprise task statistics.","9","GET Task Stats","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Complaint list visible to enterprise/admin.","11","GET Enterprise Complaints","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"List reward rules for the enterprise.","13","GET Reward Rules","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Complete a task and upload proof images if required.","11","PUT Complete Task","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","08 - Collector Tasks","",""
"Fetch a single report by ID.","14","GET Report By ID","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","Citizen Reports","03 - Reports","",""
"Admin or Enterprise report list. Set managementToken to the token of the role you want to use.","15","GET All Reports","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","failed","Sun May 24 02:10:24 UTC 2026","Management Reports","03 - Reports","",""
"Public analytics endpoint. No auth required.","994","GET Public Analytics Reports","WastePlatform API - Professional QA Suite","Sun May 24 02:10:21 UTC 2026","passed","Sun May 24 02:10:22 UTC 2026","","00 - Smoke & Public","",""
"Use this request to capture an enterprise token into enterpriseToken.","21","POST Login Enterprise","WastePlatform API - Professional QA Suite","Sun May 24 02:10:23 UTC 2026","passed","Sun May 24 02:10:23 UTC 2026","","01 - Auth","",""
"Reject a report as Enterprise or Admin.","13","POST Reject Report","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","Management Reports","03 - Reports","",""
"Enterprise complaint response endpoint.","10","POST Respond Complaint","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","09 - Enterprise API","",""
"Admin user list with filters.","32","GET Users","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","","10 - Admin API","",""
"Resolve a complaint as admin.","12","POST Resolve Complaint","WastePlatform API - Professional QA Suite","Sun May 24 02:10:24 UTC 2026","passed","Sun May 24 02:10:24 UTC 2026","Admin Complaints","04 - Complaints","",""
