"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","KIEM-5: Reports Module Testing","0","Get Report By ID Handler","8","0","Retrieve a specific waste report by its ID","0"
"0","Domain Model","0","Waste Report Entity","9","0","Status transitions for waste reports","0"
"0","KIEM-5: Reports Module Testing","0","Accept Report Handler (Extended)","12","0","Enterprise approves a pending waste report","0"
"0","KIEM-5: Reports Module Testing","0","Accept Report Handler","5","0","Enterprise accepts a pending waste report","0"
"0","KIEM-5: Reports Module Testing","0","Get All Reports Handler","15","0","Admin or Enterprise retrieves all waste reports with pagination and filtering","0"
"0","KIEM-15: CollectorTask Module Testing","0","Task Lifecycle","3","0","Set on the way and complete collection tasks","0"
"0","KIEM-15: CollectorTask Module Testing","0","Collector Task Controller - Extended","12","0","Collector retrieves, navigates and completes collection tasks","0"
"0","KIEM-20: File Uploads & Storage Tests","0","Local File Storage Service","16","0","Upload waste report images and collection evidence to local storage","0"
"0","KIEM-5: Reports Module Testing","0","Report Controller","29","0","Create, retrieve and manage waste reports","0"
"0","KIEM-5: Reports Module Testing","0","Reject Report Handler","6","0","Enterprise rejects a pending waste report with reason","0"
"0","KIEM-20: File Uploads & Storage Tests","0","Collector Evidence Image Upload","10","0","Collector uploads evidence photo when completing a task","0"
"0","KIEM-5: Reports Module Testing","0","Get Enterprise Reports Handler","7","0","Enterprise retrieves waste reports within their service area","0"
"0","KIEM-5: Reports Module Testing","0","Create Report Handler","20","0","Valid report submission with media evidence","0"
"0","KIEM-5: Reports Module Testing","0","Get My Reports Handler","4","0","Citizen retrieves their own waste reports with pagination","0"
