"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Admin/Enterprise cannot create report","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","22","0","Role-based authorization for admin enterprise endpoints","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Citizen Reports","1","0","Admin/Enterprise cannot create report","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Citizen Reports","2","0","Role-based authorization for admin enterprise endpoints","0"
"0","Complaints","0","Resolve Complaint Handler","14","0","Complaint resolution and admin response tracking","0"
"0","Complaints","0","Reject Complaint Handler","10","0","Complaint rejection and admin response tracking","0"
"0","Notifications","0","Citizen Notifications","7","0","Inbox listing and mark-as-read flows","0"
"0","Complaints","0","Create Complaint Handler","15","0","Complaint creation and linkage to reports","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Citizen can create report","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Citizen Reports","1","0","Citizen can create report","0"
"0","Infrastructure","0","Notification Repository","7","0","Citizen notification persistence and paging","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Citizen/Enterprise cannot toggle user status","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin User Management","1","0","Citizen/Enterprise cannot toggle user status","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin User Management","2","0","Role-based authorization for admin enterprise endpoints","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Admin can toggle status, others forbidden","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin User Management","1","0","Admin can toggle status, others forbidden","0"
"0","KIEM-21: Security & Role-based Access Tests","0","JWT Bearer Authentication","1","0","","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Admin can create user, others forbidden","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin User Creation","1","0","Admin can create user, others forbidden","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin User Creation","2","0","Role-based authorization for admin enterprise endpoints","0"
"0","Notifications","0","Notification Service","4","0","Realtime notification persistence and push","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Admin can assign task to collector","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Enterprise Tasks","1","0","Admin can assign task to collector","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Enterprise Tasks","3","0","Role-based authorization for admin enterprise endpoints","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Citizen can create complaint","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Citizen Complaints","1","0","Citizen can create complaint","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Citizen Complaints","2","0","Role-based authorization for admin enterprise endpoints","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Citizen cannot assign task to collector","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Enterprise Tasks","1","0","Citizen cannot assign task to collector","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Admin/Enterprise cannot create complaint","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Citizen Complaints","1","0","Admin/Enterprise cannot create complaint","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Citizen/Enterprise cannot create user","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin User Creation","1","0","Citizen/Enterprise cannot create user","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Citizen/Enterprise cannot view analytics overview","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Analytics","1","0","Citizen/Enterprise cannot view analytics overview","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Analytics","2","0","Role-based authorization for admin enterprise endpoints","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Admin can view overview, others forbidden","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Analytics","1","0","Admin can view overview, others forbidden","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Enterprise can create collector, others forbidden","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Enterprise Collectors","1","0","Enterprise can create collector, others forbidden","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Enterprise Collectors","2","0","Role-based authorization for admin enterprise endpoints","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Citizen/Admin cannot create collector","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Enterprise Collectors","1","0","Citizen/Admin cannot create collector","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Admin Enterprise Controller Authorization","1","0","Enterprise can assign task to collector","0"
"0","KIEM-21: Security & Role-based Access Tests","0","Enterprise Tasks","1","0","Enterprise can assign task to collector","0"
