"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Path P2: invalid coordinates → throw ArgumentException
CFG Path: Node 1 → Node 2(F) → Node 4(T) → Node 5
V(G) path 2/6
Condition Coverage: Tests each atomic condition C1-C4 individually","6","Path2_InvalidCoordinates_ThrowsInvalidCoords","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","CreateReportWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.CreateReportWhiteboxTests","Path2_InvalidCoordinates_ThrowsInvalidCoords"
"Path P3 (Images=empty): D3 atomic condition C6=True (Count==0)
Condition Combination: C5=False, C6=True","2","Path3_ImagesEmpty_ThrowsAtLeastOneImage","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","CreateReportWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.CreateReportWhiteboxTests","Path3_ImagesEmpty_ThrowsAtLeastOneImage"
"BVA + Condition Combination: boundary values for coordinate validation","1","BVA_ConditionCombination_CoordBoundaries","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","CreateReportWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.CreateReportWhiteboxTests","BVA_ConditionCombination_CoordBoundaries"
"Path P2: Authenticated + empty userId claim → skip → _next()
CFG: Node 1 → 2(T) → 3 → 4(F) → 11 → 14
V(G) path 2/6
Condition D4: C1=False (empty claim)","1","Path2_EmptyUserIdClaim_SkipsValidation","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","MiddlewareWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.MiddlewareWhiteboxTests","Path2_EmptyUserIdClaim_SkipsValidation"
"Path P1: complaint == null → return {Success=false, 'Not found'}
CFG: Node 1 → Node 2(T) → Node 3
V(G) path 1/6","2","Path1_ComplaintNull_ReturnsNotFound","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","EnterpriseRespondWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.EnterpriseRespondWhiteboxTests","Path1_ComplaintNull_ReturnsNotFound"
"Path P1: Unauthenticated request → skip validation → call _next()
CFG: Node 1 → 2(F) → 12 → 14
V(G) path 1/6","328","Path1_UnauthenticatedRequest_SkipsValidation","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","MiddlewareWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.MiddlewareWhiteboxTests","Path1_UnauthenticatedRequest_SkipsValidation"
"Path P3: Valid JWT but user not found in DB → proceed → _next()
CFG: Node 1 → 2(T) → 3 → 4(T) → 5 → 6(F) → 10 → 14
V(G) path 3/6","2","Path3_UserNotFoundInDb_ProceedsToNext","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","MiddlewareWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.MiddlewareWhiteboxTests","Path3_UserNotFoundInDb_ProceedsToNext"
"Condition Combination: C5=F, C6=T (empty collection) → D3=True","1","ConditionCombination_D3_ImagesEmptyCollection","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","CreateReportWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.CreateReportWhiteboxTests","ConditionCombination_D3_ImagesEmptyCollection"
"Path P6: No escalate, no resolve → add response + notify + return success
CFG: Node 1 → 2(F) → 4(F) → 6(F) → 8(F) → 10(F) → 12
V(G) path 6/6 — ALL PATHS COVERED","3","Path6_JustRespond_ReturnsResponseAdded","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","EnterpriseRespondWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.EnterpriseRespondWhiteboxTests","Path6_JustRespond_ReturnsResponseAdded"
"Path P4: Images.Count > 5 → throw ArgumentException
CFG Path: Node 1 → 2(F) → 4(F) → 6(F) → 8(T) → 9
V(G) path 4/6","1","Path4_TooManyImages_ThrowsMax5","Backend Tests (xUnit)","2026-07-03","passed","2026-07-03","CreateReportWhiteboxTests","xUnit","WastePlatform.Tests.Whitebox.CreateReportWhiteboxTests","Path4_TooManyImages_ThrowsMax5"
