"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Admin","0","Admin Enterprise Query Handlers","6","0","Admin queries for enterprise listing and details","0"
"0","WasteCategories","0","Waste Category Query Handlers","6","0","Querying waste category list and individual categories","0"
"0","Complaints","0","Admin Complaint Handlers","9","0","Admin managing complaints via reject, resolve and query operations","0"
"0","Admin","0","Admin User and Dashboard Handlers","8","0","Admin managing users, roles, and dashboard stats","0"
"0","Admin Operations","0","Admin Analytics Controller","13","0","Admin analytics endpoints for overview, reports, users, waste, and summary","0"
"0","Enterprise Operations","0","Enterprise Collector Management","15","0","Enterprise manages collector accounts (create, update, delete, list)","0"
"0","Enterprise Operations","0","Enterprise Task Controller - Profile, WasteTypes, Stats, Progress, Complaints","19","0","Enterprise profile management and task monitoring endpoints","0"
"0","Complaints","0","Complaint Query Handlers","7","0","Querying complaints by citizen, enterprise, and ID","0"
"0","Admin","0","Admin Analytics Query Handlers","8","0","Analytics for reports, users, waste, and overview","0"
"0","Tasks","0","Task Command Handlers","2","0","Assigning collectors to collection tasks","0"
"0","Rewards Module","0","Reward Query Handlers","6","0","Citizen reward point queries: total, history, leaderboard","0"
"0","Services","0","Notification Service","10","0","Sending notifications to citizens for report and complaint events","0"
"0","Rewards","0","Reward Points Command Handlers","3","0","Creating reward points for citizens on task completion","0"
"0","Admin","0","Admin Enterprise Commands and Dashboard","6","0","Verifying/Rejecting enterprises and Dashboard stats","0"
"0","Complaints","0","Citizen Escalate Complaint Handler","5","0","Citizen escalation of complaints to admin","0"
"0","Citizens","0","Citizen Profile and Enterprise Handlers","5","0","Citizen profile CRUD and enterprise context queries","0"
"0","Complaints","0","Enterprise Respond To Complaint Handler","6","0","Enterprise responding to citizen complaints","0"
